prefix,lat,lon,name,category,in_h1,out_h1,in_h2,out_h2,in_h3,out_h3,in_h4,out_h4,in_h5,out_h5,in_h6,out_h6,in_h7,out_h7,in_h8,out_h8,in_h9,out_h9,in_h10,out_h10,in_h11,out_h11,in_h12,out_h12,in_h13,out_h13,in_h14,out_h14,in_h15,out_h15,in_h16,out_h16,in_h17,out_h17,in_h18,out_h18,in_h19,out_h19,in_h20,out_h20,in_h21,out_h21,in_h22,out_h22,in_h23,out_h23,in_h24,out_h24,cap
aaf,29.650275,-82.34572,Academic Advising Center,admin,2,4,2,0,2,0,0,0,0,0,0,1,4,5,15,8,15,21,27,37,34,43,46,29,41,43,34,38,41,36,25,26,25,14,18,17,7,19,12,9,13,8,9,4,5,8,3,1,50
adv,29.648792,-82.359303,Martin H. Levin Advocacy Center,academic,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,9,2,5,9,6,9,6,11,4,10,8,10,1,5,3,12,3,6,0,4,0,7,1,2,1,0,0,0,0,1,0,0,14
aer,29.643272,-82.3483,Mec. Aerospace Engineering,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,8,11,25,18,8,9,20,18,27,17,5,7,5,10,16,8,5,3,4,4,3,3,4,6,7,1,0,0,0,1,0,0,30
aerv,29.643272,-82.3483,Mec. Aerospace Engineering,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,8,11,25,18,8,9,20,18,27,17,5,7,5,10,16,8,5,3,4,4,3,3,4,6,7,1,0,0,0,1,0,0,30
alf,29.642948,-82.348636,Alfred A. Ring Tennis Pavilion,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,29.651573,-82.341939,Anderson Hall,academic,13,10,11,2,0,1,0,1,2,1,1,1,7,3,23,11,46,55,102,50,51,36,86,84,104,80,39,40,62,50,46,47,43,50,51,24,26,33,23,17,17,14,14,8,10,15,11,5,111
ans,29.631292,-82.351768,Animal Science,academic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,3,6,5,1,6,2,6,1,11,6,1,5,5,3,1,3,2,2,1,0,0,1,1,1,0,0,0,0,0,0,19
ansc,29.631292,-82.351768,Animal Science Building C,unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,7,2,2,3,1,5,1,5,2,6,1,0,1,3,5,2,1,1,2,2,1,0,0,1,0,0,0,0,0,0,10
apl,29.646905,-82.343942,Aquatic Products Lab,academic,4,11,1,5,0,0,0,1,0,0,6,3,25,13,93,28,152,48,147,112,102,97,103,123,93,149,50,157,62,175,82,151,63,129,68,112,59,72,35,49,16,43,23,28,11,18,2,15,170
arch,29.647656,-82.341748,School of Architecture,academic,4,5,10,6,1,1,3,1,2,1,1,2,11,4,23,20,45,30,45,45,66,51,60,82,75,88,91,73,56,53,76,54,65,58,30,38,39,41,34,19,28,25,32,25,13,16,10,7,111
aud,29.648887,-82.342909,University Auditorium,academic,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,5,2,5,9,6,8,9,18,12,28,7,16,20,6,8,9,12,4,2,8,4,21,19,5,8,1,1,0,0,2,0,1,16
bar,29.643915,-82.344403,Bartram Hall,academic,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,8,7,3,6,9,8,8,10,7,16,24,4,9,10,8,9,7,9,10,1,0,0,0,0,2,0,0,0,1,1,0,0,11
barB,29.643915,-82.344403,Bartram Hall,academic,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,8,7,3,6,9,8,8,10,7,16,24,4,9,10,8,9,7,9,10,1,0,0,0,0,2,0,0,0,1,1,0,0,11
bcf,29.639509,-82.359952,BioContainment Facility,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcftr,29.639518,-82.359949,Bio-Containment Facility,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ben,29.647961,-82.351393,Tolbert Hall,housing,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,6,2,11,17,14,9,23,14,12,15,6,13,9,19,6,8,14,6,6,9,6,5,1,1,1,0,3,1,1,1,2,1,22
bgh,29.649216,-82.359055,Bruton-Geer Hall,admin,0,0,0,0,0,0,0,0,0,0,0,0,4,1,12,12,15,16,10,18,38,20,20,21,27,21,28,16,12,13,15,9,10,7,3,4,4,2,0,1,3,4,1,5,3,1,0,0,47
blk,29.641892,-82.347876,Black Hall,academic,0,1,1,0,0,0,0,1,0,0,1,0,0,4,1,4,5,6,11,5,4,7,5,16,14,9,5,13,12,7,7,10,8,2,5,9,1,3,4,2,3,2,2,1,0,0,0,0,15
bro,29.646552,-82.342104,Broward Hall,housing,2,4,0,4,0,2,0,0,0,1,1,1,4,1,11,6,22,15,31,26,26,30,37,30,21,30,11,29,15,23,15,14,15,33,19,24,20,14,10,13,4,9,12,11,5,4,5,1,39
broEastOIR,29.646552,-82.342104,Broward Hall,housing,2,4,0,4,0,2,0,0,0,1,1,1,4,1,11,6,22,15,31,26,26,30,37,30,21,30,11,29,15,23,15,14,15,33,19,24,20,14,10,13,4,9,12,11,5,4,5,1,39
broOIR,29.646552,-82.342104,Broward Hall,housing,2,4,0,4,0,2,0,0,0,1,1,1,4,1,11,6,22,15,31,26,26,30,37,30,21,30,11,29,15,23,15,14,15,33,19,24,20,14,10,13,4,9,12,11,5,4,5,1,39
brt,29.648906,-82.345784,Bryant Space Science Center,academic,1,1,0,2,1,1,1,0,0,0,0,2,3,2,24,16,24,22,47,30,39,40,40,53,45,56,33,39,39,40,39,41,39,46,39,34,21,19,12,18,10,14,13,15,6,6,2,2,70
brtb,29.648906,-82.345784,Bryant Space Science Center,academic,1,1,0,2,1,1,1,0,0,0,0,2,3,2,24,16,24,22,47,30,39,40,40,53,45,56,33,39,39,40,39,41,39,46,39,34,21,19,12,18,10,14,13,15,6,6,2,2,70
brttr,29.648906,-82.345784,Bryant Space Science Center,academic,1,1,0,2,1,1,1,0,0,0,0,2,3,2,24,16,24,22,47,30,39,40,40,53,45,56,33,39,39,40,39,41,39,46,39,34,21,19,12,18,10,14,13,15,6,6,2,2,70
bry,29.648906,-82.345784,Bryan Hall,admin,1,4,2,5,1,1,0,0,0,0,0,0,3,3,2,8,22,27,32,36,25,34,35,29,27,33,19,39,30,44,37,32,22,33,14,21,11,14,5,10,4,15,4,7,1,13,8,8,49
bwc,29.645354,-82.347903,UF bookstore,social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bwcbookstore,29.645256,-82.34771,UF Bookstore,social,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,7,6,6,8,18,16,14,10,20,13,18,14,20,12,14,8,11,15,8,8,6,7,3,8,2,13,4,8,1,2,1,5,21
bwcg,29.645442,-82.348053,UF Welcome Center,admin,0,0,0,1,0,0,0,0,0,0,0,0,4,0,8,6,11,11,6,16,24,34,13,25,13,28,16,18,14,38,20,20,20,40,16,20,15,8,9,12,7,14,3,8,4,4,0,3,34
bwcp,29.645442,-82.348053,UF Welcome Center,admin,0,0,0,1,0,0,0,0,0,0,0,0,4,0,8,6,11,11,6,16,24,34,13,25,13,28,16,18,14,38,20,20,20,40,16,20,15,8,9,12,7,14,3,8,4,4,0,3,34
bwctr,29.645442,-82.348053,UF Welcome Center,admin,0,0,0,1,0,0,0,0,0,0,0,0,4,0,8,6,11,11,6,16,24,34,13,25,13,28,16,18,14,38,20,20,20,40,16,20,15,8,9,12,7,14,3,8,4,4,0,3,34
car,29.64903,-82.341675,Carleton Auditorium,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,5,20,27,5,2,1,4,79,134,30,4,3,12,19,46,20,1,20,21,8,3,34,25,1,7,0,0,0,0,0,90
carATTIC,29.64903,-82.341675,Carleton Auditorium - Attic,academic,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,10,5,4,10,15,8,12,10,16,30,31,25,8,17,7,14,18,5,5,3,9,9,6,1,4,1,6,1,0,1,0,0,41
cbd,29.652971,-82.342913,Classroom Building 105,academic,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13,19,10,16,34,22,23,29,19,14,28,21,13,32,17,20,6,2,13,14,10,8,3,0,3,5,1,0,0,6,1,0,1,38
cenx,29.643928,-82.343066,Centrex Building,police,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,1,2,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
che,29.64272,-82.347873,Dept. of Chemical Engineering,academic,1,1,0,0,0,0,0,0,0,0,0,1,1,0,4,2,6,15,16,20,11,5,16,18,21,24,14,9,20,10,9,6,11,7,8,3,1,2,2,2,1,0,1,1,2,0,0,0,29
clb,29.650947,-82.344073,Chemistry Lab,academic,4,3,2,1,0,0,0,1,0,1,0,0,4,1,4,6,9,31,29,43,45,42,51,41,33,37,26,38,26,63,37,50,32,35,43,16,13,17,7,26,8,10,27,5,3,3,6,4,96
con,29.64635,-82.346664,Constans Theatre,social,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,13,10,10,15,34,19,26,30,37,28,48,18,46,19,35,16,21,22,27,10,38,20,25,28,15,14,9,12,10,2,2,0,4,47
conG,29.64635,-82.346664,Constans Theatre,social,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,13,10,10,15,34,19,26,30,37,28,48,18,46,19,35,16,21,22,27,10,38,20,25,28,15,14,9,12,10,2,2,0,4,47
crec,29.639071,-82.368803,Center for Outdoor Rec. & Educ.,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crecxxxrxx,29.639071,-82.368803,Center for Outdoor Rec. & Educ.,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cris,29.65013,-82.341602,Criser Hall,admin,0,1,1,2,2,1,2,0,1,0,0,0,0,6,7,10,8,7,7,9,18,19,21,17,23,18,5,13,15,15,17,11,24,4,2,4,1,2,2,1,1,1,2,3,0,0,0,0,31
criv,29.65013,-82.341602,Criser Hall,admin,0,1,1,2,2,1,2,0,1,0,0,0,0,6,7,10,8,7,7,9,18,19,21,17,23,18,5,13,15,15,17,11,24,4,2,4,1,2,2,1,1,1,2,3,0,0,0,0,31
crr,29.643859,-82.344859,Carr Hall,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,9,7,13,12,8,20,9,10,5,4,9,11,9,4,17,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,23
crrB,29.643859,-82.344859,Carr Hall,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,9,7,13,12,8,20,9,10,5,4,9,11,9,4,17,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,23
cse,29.64821,-82.344387,CISE,academic,2,2,3,0,0,0,0,0,0,0,1,0,2,4,7,43,66,58,68,125,98,78,122,149,181,107,89,89,94,96,112,86,102,39,57,52,63,28,48,21,29,20,23,13,11,5,14,4,196
csee,29.64821,-82.344387,CISE,academic,2,2,3,0,0,0,0,0,0,0,1,0,2,4,7,43,66,58,68,125,98,78,122,149,181,107,89,89,94,96,112,86,102,39,57,52,63,28,48,21,29,20,23,13,11,5,14,4,196
csev,29.64821,-82.344387,CISE,academic,2,2,3,0,0,0,0,0,0,0,1,0,2,4,7,43,66,58,68,125,98,78,122,149,181,107,89,89,94,96,112,86,102,39,57,52,63,28,48,21,29,20,23,13,11,5,14,4,196
csfl,29.633672,-82.361716,Crops And Soils Field Lab,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
cwp,29.648189,-82.348498,Lacy R. Chilled Water Plt. CWP2,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dau,29.649895,-82.344979,Dauer Hall,academic,5,5,5,2,0,0,0,2,0,0,0,1,5,3,7,15,13,19,32,30,33,38,44,44,29,42,24,45,14,39,12,38,31,34,16,21,14,15,8,19,4,11,8,8,3,8,0,5,41
dinefreshfood,29.647025,-82.341302,Fresh Food,social,0,3,1,3,0,1,0,0,0,0,0,0,3,2,13,2,14,5,15,13,13,18,23,29,24,20,14,20,9,15,9,18,11,15,7,14,8,11,11,14,6,14,10,18,5,1,2,4,28
edb,29.641637,-82.348364,Engineering Design Building,academic,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,2,2,3,2,3,3,3,0,3,3,5,1,6,2,5,5,5,5,9,6,7,3,4,2,1,0,3,1,2,1,1,1,1,8
ehs,29.64353,-82.343826,Env. Health and Safety EHS,unknown,1,5,0,0,0,0,0,0,0,2,0,2,1,0,5,11,1,8,7,12,10,14,5,13,5,16,1,22,5,19,10,16,10,18,5,10,3,14,0,10,0,3,0,3,1,2,0,3,24
elm,29.643476,-82.366184,Elmore Hall,admin,0,0,0,0,0,0,1,0,2,0,1,0,5,1,6,5,7,2,4,1,7,6,10,7,6,7,2,2,2,1,2,3,1,4,1,2,4,3,1,1,2,0,2,2,0,1,1,0,8
elmv,29.643476,-82.366184,Elmore Hall,admin,0,0,0,0,0,0,1,0,2,0,1,0,5,1,6,5,7,2,4,1,7,6,10,7,6,7,2,2,2,1,2,3,1,4,1,2,4,3,1,1,2,0,2,2,0,1,1,0,8
eyn,29.634543,-82.366474,Entomology-Nematology,academic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,9,4,6,5,6,3,3,6,1,3,4,3,3,2,5,4,2,3,6,5,7,9,2,5,3,3,1,2,0,3,0,1,8
faa,29.648127,-82.340636,Fine Arts A,academic,2,3,4,1,1,1,1,4,3,1,3,2,4,3,10,7,20,7,25,17,23,25,33,33,27,21,21,27,35,28,20,30,20,13,25,9,12,9,6,5,6,8,6,5,1,2,0,1,52
fab,29.648118,-82.339764,Fine Arts B,academic,1,3,3,5,1,0,0,0,0,2,2,0,2,1,8,10,14,16,8,13,20,24,21,22,15,32,12,24,17,21,21,29,13,19,9,8,5,18,4,9,5,12,2,9,0,6,3,4,54
fac,29.647768,-82.340343,Fine Arts C,academic,6,12,8,11,9,5,8,6,6,8,7,8,8,12,20,14,38,47,43,43,44,81,62,64,70,83,64,79,58,62,45,60,64,58,43,57,33,20,23,27,12,20,20,35,19,16,9,11,94
facB,29.647768,-82.340343,Fine Arts C,academic,6,12,8,11,9,5,8,6,6,8,7,8,8,12,20,14,38,47,43,43,44,81,62,64,70,83,64,79,58,62,45,60,64,58,43,57,33,20,23,27,12,20,20,35,19,16,9,11,94
fad,29.648372,-82.340171,Fine Arts D,academic,2,1,1,0,0,2,2,0,1,0,0,0,0,1,3,1,10,2,10,10,12,14,12,11,7,6,8,20,16,16,16,19,14,12,10,19,4,7,2,4,6,2,5,4,2,4,2,2,25
